City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,college,64.8569,-147.8028,6.36,52,75,0.45,US,2023-09-29 23:27:07
115,ilulissat,69.2167,-51.1,0.01,86,100,0.0,GL,2023-09-29 23:27:08
116,saipan,15.1355,145.701,29.39,79,20,1.54,MP,2023-09-29 23:27:08
117,kapuskasing,49.4169,-82.4331,20.0,45,75,3.09,CA,2023-09-29 23:22:19
118,anadyr,64.75,177.4833,6.28,86,75,4.0,RU,2023-09-29 23:27:08
119,bucak,37.4592,30.595,18.29,82,14,0.63,TR,2023-09-29 23:27:08
120,necochea,-38.5473,-58.7368,8.38,82,100,5.67,AR,2023-09-29 23:27:08
121,erenhot,43.6475,111.9767,8.83,50,51,3.2,CN,2023-09-29 23:27:09
122,kosong,38.3788,128.4676,20.27,70,86,4.24,KR,2023-09-29 23:27:09
123,afaahiti,-17.75,-149.2833,26.93,86,32,8.34,PF,2023-09-29 23:27:09
124,moree,-29.4667,149.85,25.46,42,0,4.44,AU,2023-09-29 23:27:09
125,nar'yan-mar,67.6713,53.087,2.49,75,99,7.31,RU,2023-09-29 23:27:09
126,badger,64.8,-147.5333,6.31,53,75,0.0,US,2023-09-29 23:27:09
127,stanley,54.868,-1.6985,10.99,92,0,2.06,GB,2023-09-29 23:27:10
128,bredasdorp,-34.5322,20.0403,14.4,80,83,5.9,ZA,2023-09-29 23:23:48
129,leava,-14.3,-178.1667,26.91,76,92,7.59,WF,2023-09-29 23:27:10
130,lewistown,40.5992,-77.5714,18.93,94,100,0.0,US,2023-09-29 23:27:10
131,ampanihy,-24.7,44.75,19.44,85,0,0.72,MG,2023-09-29 23:27:10
132,madang,-5.2246,145.7966,28.11,74,95,0.49,PG,2023-09-29 23:22:42
133,kodiak,57.79,-152.4072,10.73,76,20,0.0,US,2023-09-29 23:27:11
134,coquimbo,-29.9533,-71.3436,13.85,88,40,3.6,CL,2023-09-29 23:27:11
